»ùÒò,±àºÅ,z
SMG7,12375,-0.762594
SNAP47,12431,-0.762661
MLNR,8032,-0.76323
TIMM8A,13441,-0.763353
YIPF4,14866,-0.763733
ALDOC,444,-0.763749
FAM118A,4222,-0.763975
LACTB2,6752,-0.764055
NUPL2,9092,-0.764322
OTUD5,9280,-0.764906
POLE2,10079,-0.765663
CDH23,2178,-0.76576
CCL17,2010,-0.766114
MAPRE1,7674,-0.766189
BORCS8-MEF2B,1342,-0.766196
LUZP2,7492,-0.766828
GPAT3,5177,-0.767255
MRPL15,8160,-0.767334
KIAA1522,6500,-0.767632
SETDB1,11847,-0.767901
MYLK,8408,-0.768144
ASCL1,913,-0.768311
CDH2,2175,-0.768553
CDH19,2174,-0.768707
HCG18,5492,-0.768852
ITGA2,6211,-0.769107
CUL4B,3034,-0.769412
DCTN6,3221,-0.769723
ZBTB41,14932,-0.771083
SHD,11944,-0.771702
LY6H,7498,-0.771795
REST,11006,-0.771828
KAT14,6314,-0.772026
TBXA2R,13224,-0.772347
STIM2,12868,-0.772661
SLC25A46,12124,-0.773019
RNF43,11241,-0.773173
ZC3H8,14963,-0.773928
ST20,12803,-0.773934
ZNF487,15312,-0.774026
FAM86HP,4391,-0.774231
FAM200B,4308,-0.774337
CCDC117,1908,-0.774461
TRIM22,13980,-0.774499
GRINA,5316,-0.775134
ANO6,612,-0.775655
TUBA4B,14203,-0.775696
RGL2,11048,-0.776244
ZNF222,15156,-0.776618
ZNF124,15105,-0.776655
WDFY3-AS2,14693,-0.777057
MS4A7,8240,-0.777122
MFSD6L,7915,-0.778002
SFT2D1,11873,-0.778597
SAMD12,11559,-0.779217
DDOST,3243,-0.779681
NCAM2,8547,-0.780913
WTIP,14805,-0.780972
LINC01596,7030,-0.781504
SIK2,11978,-0.781549
PBDC1,9438,-0.781572
TSPAN7,14114,-0.781948
PPFIA1,10168,-0.782132
FAM71F1,4373,-0.78472
ST18,12802,-0.784809
RTCB,11473,-0.785545
CYB5D2,3077,-0.785639
ADCK5,242,-0.786099
LOC101928111,7185,-0.78631
CCR9,2055,-0.786829
METRN,7861,-0.78694
NKX6-3,8805,-0.787028
KCNK12,6387,-0.787328
PRDM8,10310,-0.787827
UBR3,14354,-0.788602
AGPAT5,349,-0.788846
TLX1NB,13487,-0.7897
LYPLA1,7514,-0.789782
DENND1C,3304,-0.790009
MAFB,7553,-0.790062
TRIM65,14010,-0.790267
ESPL1,4090,-0.790518
SLC2A11,12154,-0.790575
APOL3,696,-0.791658
TMEM238,13654,-0.791712
GGTA1P,4992,-0.791955
IFIT3,5951,-0.792034
PRKACA,10341,-0.792116
CST5,2964,-0.79252
STAR,12840,-0.793111
TTYH2,14193,-0.793603
MIER3,7967,-0.793765
PIP4P2,9841,-0.793887
SV2C,12999,-0.795022
NBEAL1,8535,-0.795225
KIAA1147,6490,-0.795281
MEI1,7841,-0.79542
SNX21,12508,-0.795505
NAA50,8468,-0.796062
ALKBH7,468,-0.796242
DNAJB5,3487,-0.796298
KLHL12,6588,-0.796665
PCYT2,9541,-0.797042
NAPSA,8514,-0.797083
TSPAN9,14116,-0.797349
DUBR,3650,-0.797655
NKAIN3,8784,-0.797987
YAP1,14849,-0.798024
DNAJC17,3499,-0.798456
GZF1,5425,-0.79876
INIP,6096,-0.79881
CTXND1,3027,-0.798878
CDKN2A,2227,-0.799635
SPTB,12697,-0.800326
SLC37A3,12203,-0.800541
COCH,2686,-0.800986
FAM189A2,4294,-0.801087
RERE,11002,-0.801303
DEGS1,3299,-0.80189
HEPACAM,5553,-0.80192
TSPAN8,14115,-0.802595
NBEAL2,8536,-0.802896
TEKT2,13300,-0.803921
MNS1,8057,-0.804414
GOLM1,5156,-0.804664
PRMT7,10381,-0.804825
NSRP1,9002,-0.805511
SNW1,12495,-0.805547
LOC645513,7296,-0.805603
ARL6IP1,833,-0.805941
CRIPT,2886,-0.806396
IBTK,5904,-0.806429
HAR1A,5464,-0.807083
CYP2J2,3107,-0.807129
FBF1,4441,-0.807216
EIF4G1,3866,-0.807247
SPECC1,12630,-0.807948
SHISAL2A,11953,-0.808112
RHOV,11106,-0.808439
ZDHHC18,14993,-0.808971
VPS26A,14614,-0.809107
HAUS4,5472,-0.809115
LRRC73,7428,-0.809581
NAXD,8530,-0.810069
ASIC4,925,-0.810621
OAF,9116,-0.810706
HIST1H4J,5663,-0.810924
XPC,14826,-0.810963
BMT2,1323,-0.811055
SPARC,12599,-0.811276
IFT46,5975,-0.811639
HIST1H2AK,5629,-0.812013
PLEKHH3,9952,-0.813263
RAB31,10716,-0.813375
RIPPLY1,11142,-0.813421
CKMT1B,2507,-0.813535
GGNBP1,4983,-0.81399
RGS17,11063,-0.814024
FTMT,4755,-0.814344
ADAMTS19,220,-0.814582
ST8SIA4,12825,-0.814903
TFPT,13349,-0.815033
ATP1A3,1008,-0.815148
CES1,2334,-0.81585
SDC1,11684,-0.81635
ZNF239,15170,-0.816721
PGM1,9705,-0.817236
TAPBPL,13132,-0.817644
SPTSSB,12705,-0.817752
SEC23A,11722,-0.818398
SCOC-AS1,11665,-0.819053
PLA2G4C,9889,-0.81929
ZNF283,15200,-0.819739
CALM2,1758,-0.820045
CHMP2B,2420,-0.820058
TNFRSF11A,13779,-0.820187
IRAK1,6168,-0.820426
CHTOP,2471,-0.821336
ADGRB3,263,-0.821352
LAMB2,6763,-0.821819
ICA1L,5906,-0.822295
ERGIC2,4060,-0.822307
SKAP1,12004,-0.822666
RNF217,11228,-0.82331
CCL25,2016,-0.823485
APH1B,682,-0.823785
TBC1D2,13176,-0.824157
CPM,2823,-0.82478
NTN4,9025,-0.824837
AAR2,17,-0.824941
PLB1,9905,-0.824991
PLIN3,9964,-0.825318
PYCR2,10656,-0.826007
ASIC1,922,-0.826037
GPANK1,5175,-0.82607
TMEM14A,13573,-0.826113
GUCY1A2,5407,-0.826175
HIST1H2AG,5627,-0.826383
MIF-AS1,7969,-0.826392
RASA1,10847,-0.826737
ZNF668,15445,-0.827242
HGF,5582,-0.82766
TTTY15,14191,-0.827844
LOC100289361,7141,-0.828751
SERPINA1,11811,-0.82904
OSBPL3,9254,-0.829867
LCE2D,6816,-0.830062
REEP6,10987,-0.830158
NEIL1,8670,-0.830403
ERLIN1,4072,-0.831142
FAM209A,4315,-0.831269
DENND5B,3313,-0.83128
MAP9,7650,-0.831659
PARP16,9408,-0.831896
RPN1,11358,-0.832783
ZNF703,15474,-0.833063
ZNF627,15422,-0.833144
TCFL5,13258,-0.833276
OCIAD2,9129,-0.833345
E2F4,3710,-0.833555
TMEM165,13590,-0.833898
HIST1H2BB,5632,-0.834758
FAAP100,4180,-0.835099
PER1,9648,-0.835286
CDK9,2217,-0.835318
USP14,14474,-0.836319
EFNB1,3792,-0.836449
RNF10,11174,-0.836629
RHBDF2,11082,-0.836966
COX6A1,2801,-0.83861
SYCE1,13010,-0.838732
GPN2,5209,-0.83877
MYO1C,8421,-0.839974
SERINC5,11808,-0.840377
KLHDC9,6585,-0.840578
EMB,3919,-0.840589
GATAD2B,4904,-0.84071
TWF1,14234,-0.840757
RAB8B,10749,-0.840862
CCND1,2026,-0.84109
ANKS1B,602,-0.841142
CAMK4,1776,-0.84148
C9orf24,1678,-0.841828
DRP2,3624,-0.841907
PRIMA1,10335,-0.842231
SLC48A1,12244,-0.842303
COL16A1,2701,-0.842678
HLA-DOA,5685,-0.842812
RBM23,10910,-0.843228
EID2B,3820,-0.843486
C11orf87,1446,-0.843678
SH2D6,11910,-0.84397
TAF1C,13099,-0.844091
PTGR2,10562,-0.844104
C10orf88,1428,-0.844116
CLEC18B,2542,-0.844199
CXCL2,3056,-0.844365
LONRF3,7333,-0.844488
ZNF257,15180,-0.844556
RASIP1,10865,-0.844883
ASIC3,924,-0.844906
LRRN2,7443,-0.845038
CCDC25,1955,-0.845291
SCD,11630,-0.845965
NCF4,8562,-0.846296
AJAP1,381,-0.846937
ZNF420,15269,-0.847032
TRIM4,13995,-0.847082
CCT2,2060,-0.847221
CYP1B1-AS1,3098,-0.847596
WIPI2,14777,-0.848364
POLR3C,10110,-0.848691
GRID2,5304,-0.848744
WWP1,14810,-0.850017
LOC642852,7285,-0.850379
RSPH3,11460,-0.850601
LINC01197,7009,-0.850617
AMPH,509,-0.850695
TNKS,13800,-0.850729
NUCB2,9040,-0.850773
PSMB2,10488,-0.852231
SEMA4A,11765,-0.852572
CDS2,2240,-0.852685
DUS3L,3653,-0.852706
SEPSECS,11788,-0.852876
NCOA6,8576,-0.853849
NDRG1,8593,-0.854751
DFFA,3331,-0.854944
MED11,7800,-0.85539
MBD2,7721,-0.855925
BORCS7,1340,-0.856871
SFMBT2,11866,-0.856936
PLPBP,9978,-0.857223
BARX1,1175,-0.857476
RUFY3,11501,-0.85759
HEXDC,5574,-0.857661
SUGT1P3,12958,-0.857729
CHMP4A,2421,-0.85796
CCDC34,1961,-0.857977
HEATR3,5531,-0.858124
RAPGEF2,10830,-0.860149
NTPCR,9029,-0.860566
ZNF449,15292,-0.860628
LYPD6,7512,-0.860805
KRT18,6670,-0.860885
ATP6V1G1,1061,-0.860968
EFS,3797,-0.861385
LILRB4,6901,-0.861547
FBXO38,4487,-0.861773
NOLC1,8858,-0.861797
MAST3,7705,-0.862201
EBPL,3726,-0.862217
SDK2,11704,-0.863026
CXXC1,3062,-0.863188
SNX27,12512,-0.864239
SURF4,12985,-0.864466
ALDH2,434,-0.864904
HGC6.3,5580,-0.864959
WDR3,14709,-0.864968
FHL5,4579,-0.865681
ARL14EP,819,-0.86576
PLCB1,9908,-0.865799
TSN,14094,-0.865891
SOWAHD,12556,-0.866106
SNRNP27,12472,-0.866236
MSL1,8250,-0.866706
STOX2,12903,-0.86706
SCARB1,11624,-0.867308
RASSF1,10871,-0.867331
ACOX3,140,-0.867558
JAK1,6263,-0.867641
HIST2H2BC,5668,-0.868547
POU3F2,10147,-0.868897
SCAPER,11621,-0.868946
TINF2,13450,-0.869115
ZNF263,15183,-0.869916
NCBP1,8554,-0.870743
REPS1,10999,-0.87093
HIST1H2AC,5624,-0.871012
ADRA1A,294,-0.871136
ZC3H7A,14961,-0.871409
RANGRF,10819,-0.871758
POLDIP2,10077,-0.87197
TTPA,14187,-0.872071
DPYSL3,3607,-0.872426
DCDC1,3199,-0.873052
ZNF442,15287,-0.873077
JAML,6271,-0.87316
CLCN3,2520,-0.873366
VIPR2,14590,-0.874237
PPP1R7,10244,-0.875821
LDLR,6842,-0.875872
GUCA1B,5402,-0.876826
MRGPRF,8140,-0.877454
RPS9,11416,-0.877468
NBAS,8532,-0.87767
EMC8,3929,-0.878288
ITGB2,6227,-0.878791
SULT4A1,12965,-0.87986
VPS29,14617,-0.879873
MXRA8,8367,-0.880399
HOXB7,5778,-0.880791
CCNH,2036,-0.880895
DPAGT1,3572,-0.881339
CYTL1,3132,-0.881579
CASC4,1837,-0.881614
SNHG7,12461,-0.881824
VTI1A,14655,-0.882045
C6orf118,1637,-0.882142
PLBD1,9906,-0.882395
KCMF1,6338,-0.882653
BZW2,1424,-0.883052
LOC100507516,7163,-0.883163
OS9,9247,-0.883206
CRNDE,2895,-0.884142
MEIS1,7844,-0.884257
SLC44A5,12237,-0.884341
KLK8,6623,-0.884486
HLA-DMA,5683,-0.884893
RILPL1,11118,-0.885105
SLC25A18,12097,-0.885806
TIMM13,13431,-0.885887
TIRAP,13454,-0.887125
NR2F2-AS1,8947,-0.887538
ACBD7,116,-0.887789
CPVL,2847,-0.88789
ANKMY2,546,-0.888413
STK11,12871,-0.88911
CLEC4A,2547,-0.889324
USP9X,14520,-0.889462
SRGAP2,12727,-0.889943
NFKBIB,8731,-0.890087
CLDN5,2534,-0.890385
RNF144B,11196,-0.890516
KIF1A,6521,-0.890538
VARS2,14553,-0.890779
ZDHHC11,14986,-0.890808
ANKRD13C,553,-0.891105
ACOX2,139,-0.891225
PLEKHJ1,9953,-0.892068
LOC441052,7273,-0.892622
CDC42,2148,-0.892652
SLC17A6,12050,-0.892964
MXRA7,8366,-0.893223
CROCCP3,2899,-0.893444
PRKY,10371,-0.893664
DNAJA2,3477,-0.893856
INPP4A,6102,-0.895166
SERTAD3,11828,-0.895423
BRINP1,1366,-0.895546
STK17B,12875,-0.896277
QPRT,10674,-0.896535
ENO1,3965,-0.896863
A1BG,1,-0.896946
CHST1,2452,-0.896958
MAD1L1,7542,-0.897539
USP19,14478,-0.897837
NRARP,8955,-0.898056
AARS,19,-0.898062
EML6,3945,-0.899193
BTBD11,1390,-0.899422
METTL17,7868,-0.899445
ZNF250,15174,-0.899858
LINC00672,6964,-0.899882
TGFB2,13354,-0.900847
TXLNB,14241,-0.901247
PILRA,9824,-0.901369
NWD1,9099,-0.901522
MIIP,7973,-0.901918
DENND6A,3314,-0.902016
QKI,10671,-0.902262
HNRNPH3,5755,-0.902521
STX2,12930,-0.90262
PRKRIP1,10369,-0.902864
BRD9,1360,-0.902972
SMC3,12361,-0.903117
PRKACB,10342,-0.903548
MCM3AP-AS1,7758,-0.903782
VPS72,14636,-0.903789
TSC22D2,14079,-0.904159
S100A6,11535,-0.904253
BMS1P20,1321,-0.90485
ELAVL4,3883,-0.905219
PLA2G12A,9883,-0.90561
HLA-DPB2,5689,-0.907166
GPRC5C,5268,-0.907223
PROSER1,10394,-0.907284
SRSF4,12759,-0.90736
APOE,693,-0.90771
MXI1,8365,-0.907732
ZSCAN29,15610,-0.907812
ANKRD28,573,-0.907841
CELSR3,2268,-0.909278
TKT,13462,-0.909751
SLC25A33,12111,-0.909843
COX17,2793,-0.909947
DCP1A,3209,-0.909975
REEP3,10984,-0.910069
ZNF818P,15552,-0.910533
BFSP1,1269,-0.911786
MRPL27,8171,-0.912316
CDCA8,2166,-0.912433
CNBP,2620,-0.912562
PLPPR3,9988,-0.912812
EMP1,3946,-0.91345
SPCS1,12621,-0.913894
KCNJ2,6378,-0.914154
ZCWPW2,14984,-0.914268
CDC7,2161,-0.916226
ZAN,14898,-0.916601
MIR99AHG,7999,-0.916857
HAGLR,5456,-0.91695
HIPK2,5615,-0.917319
ARL1,816,-0.918624
CLIP1,2560,-0.919427
LDB3,6836,-0.919783
OR2A2,9193,-0.919852
USP43,14505,-0.919945
CGAS,2367,-0.920212
ZNF462,15298,-0.920315
NUP54,9085,-0.920332
BEAN1,1250,-0.921612
PCDHB4,9485,-0.921622
ZNF485,15310,-0.921763
VRK2,14640,-0.922153
HTR1F,5873,-0.922225
KCNC1,6349,-0.922816
CD46,2108,-0.923125
ALK,459,-0.923384
CTSO,3015,-0.923478
TVP23A,14233,-0.923649
TESPA1,13318,-0.9237
PTDSS2,10547,-0.92371
LYZL1,7527,-0.923713
EHMT2,3816,-0.923826
LDHA,6837,-0.923853
SORBS2,12542,-0.924142
UQCRC1,14446,-0.924313
SRI,12731,-0.924386
CREG1,2874,-0.925369
C19orf53,1509,-0.925396
HEATR1,5530,-0.925738
ENPP4,3976,-0.92605
ZNF260,15182,-0.926154
ASPH,935,-0.92621
KCTD3,6429,-0.926382
TEK,13299,-0.927238
ZNF555,15358,-0.927308
B3GNT2,1127,-0.927431
RALA,10795,-0.927745
FNIP1,4666,-0.928093
CTNNBL1,2997,-0.929111
ZNF558,15360,-0.929284
GIMAP7,5012,-0.930159
HNRNPDL,5751,-0.930634
COPB1,2752,-0.93064
INSIG1,6112,-0.93135
RAB6B,10744,-0.932069
DAP,3153,-0.932195
SLC5A11,12260,-0.932245
CEP164,2299,-0.932783
C3orf33,1611,-0.933277
ATAD3C,954,-0.933302
PCDH17,9463,-0.933384
HIST1H3F,5651,-0.93349
CACNG3,1732,-0.933548
BCL2L2,1226,-0.933664
ZNF37BP,15246,-0.933759
HOXB-AS3,5775,-0.934009
DPP8,3592,-0.934449
RPL10,11294,-0.9345
ACSM2A,156,-0.934924
MED4,7824,-0.935072
ZNF585A,15388,-0.935218
ADCYAP1,253,-0.936163
PEX1,9655,-0.936373
SYNPO,13041,-0.93667
HINFP,5607,-0.937178
ALKBH6,467,-0.937277
GPR171,5236,-0.937285
LARP1B,6787,-0.937375
DOCK9,3557,-0.937519
PIGM,9798,-0.937732
RFC1,11020,-0.937977
LRRC24,7392,-0.938135
MGC16025,7928,-0.938949
ANP32B,619,-0.939125
WDR17,14701,-0.939161
MYT1L,8447,-0.939223
HLA-E,5697,-0.939235
LOC101928504,7190,-0.939667
LINC01480,7019,-0.939878
WDR1,14697,-0.940084
MRPS28,8221,-0.940234
CMC1,2603,-0.940457
DPH7,3583,-0.941495
SLC2A6,12161,-0.942164
LZTS2,7532,-0.942409
VPS35,14620,-0.942471
SP3,12582,-0.942638
GNL3L,5127,-0.942979
ARRDC3,874,-0.943346
ECHDC1,3731,-0.943542
KPNA2,6647,-0.944167
REX1BD,11016,-0.944843
SUGT1P1,12957,-0.945189
ZC3HAV1L,14965,-0.945412
MAP4K2,7640,-0.945933
SIDT1,11970,-0.945948
DDR2,3245,-0.946269
FTCDNL1,4751,-0.946787
PAIP2,9350,-0.946867
SNF8,12446,-0.94708
NRXN2,8984,-0.947238
MEGF11,7837,-0.947357
PNPLA8,10055,-0.94801
TMUB1,13762,-0.94861
CCDC77,1982,-0.949109
LRP6,7379,-0.949289
IFI30,5943,-0.949317
CILP2,2486,-0.949614
DUSP1,3655,-0.950288
MOSPD1,8092,-0.950565
VEZF1,14579,-0.951421
L1CAM,6742,-0.951507
SASH1,11588,-0.951575
IL17REL,6036,-0.952276
BRPF1,1374,-0.952351
MAP3K7,7637,-0.952475
HIST3H3,5672,-0.952646
ABRAXAS2,91,-0.953069
SPP1,12671,-0.95315
BCAR3,1203,-0.953434
FDPS,4522,-0.953513
PNISR,10032,-0.953597
SRR,12746,-0.95413
11-Sep,11790,-0.954395
APLP2,688,-0.954531
NEK11,8674,-0.954854
AKT1S1,418,-0.955246
TMEM127,13553,-0.956076
FLJ42393,4626,-0.956336
KAZALD1,6327,-0.956688
ACSL3,152,-0.957195
GNB4,5111,-0.957245
MLXIPL,8037,-0.957911
CPLX3,2822,-0.958216
MSANTD1,8241,-0.958383
ABT1,92,-0.958866
PDP1,9607,-0.95908
POMC,10123,-0.95908
RASL11A,10868,-0.959731
LRRC63,7424,-0.959778
SAR1A,11578,-0.959811
MUM1,8349,-0.95997
SFTPD,11878,-0.960488
RNF157-AS1,11204,-0.961176
RNPEPL1,11256,-0.961352
STK25,12878,-0.961408
GTF2H2B,5379,-0.961449
GLRX,5064,-0.961679
SLC1A2,12060,-0.962014
TAF9B,13113,-0.962143
LY6D,7494,-0.962624
SMARCA2,12347,-0.962654
GPC6,5193,-0.962922
LMO4,7094,-0.96298
CDK4,2207,-0.963274
ZNF880,15575,-0.963931
BTN2A1,1408,-0.964147
DVL2,3680,-0.964623
PDGFRA,9585,-0.964826
FIBIN,4583,-0.964838
CDK2AP2,2206,-0.964857
ITGA8,6217,-0.965935
TRIM59,14007,-0.966063
LRRC23,7391,-0.966125
NEURL3,8703,-0.96694
BAMBI,1170,-0.967037
EMILIN1,3937,-0.96713
PNO1,10046,-0.967158
CHST3,2460,-0.967286
SLC22A23,12074,-0.967499
PCSK6,9533,-0.968271
ACP5,143,-0.969416
FNDC10,4659,-0.96948
ENOSF1,3971,-0.969717
FUNDC1,4764,-0.969892
PRDM5,10308,-0.97007
HADHB,5453,-0.970415
CCDC82,1986,-0.970561
FIBP,4584,-0.971037
TECR,13293,-0.971083
SLC15A2,12034,-0.97113
ZNF876P,15573,-0.971238
EIF4A2,3856,-0.971876
MKLN1,8011,-0.971889
PTCD2,10539,-0.971995
WDR5,14727,-0.972256
RANBP9,10817,-0.972273
ENPP6,3978,-0.972506
PDLIM2,9602,-0.97293
VAMP7,14546,-0.973919
ZNF19,15137,-0.974111
GUCA2B,5404,-0.974501
ATP6V0C,1048,-0.974991
TGM1,13363,-0.975313
ZNF546,15351,-0.975523
FAM210B,4320,-0.976915
FABP6,4187,-0.977446
SPATA2,12606,-0.978092
STAM,12835,-0.978172
PLXNA3,10001,-0.978312
LAMP2,6770,-0.978472
RNF7,11246,-0.978683
GCHFR,4923,-0.979497
DRD4,3619,-0.980076
RAB3GAP1,10730,-0.980077
SYT9,13065,-0.98125
GSDME,5343,-0.981705
CIP2A,2488,-0.9818
DOCK8,3556,-0.982884
YTHDF2,14883,-0.983135
C6orf52,1646,-0.984174
GPR108,5213,-0.984211
MRPL44,8188,-0.984369
SLC22A17,12071,-0.984435
LAMC1,6766,-0.984466
VPS8,14637,-0.98468
CDKN2AIPNL,2229,-0.984713
UBE4A,14335,-0.985555
C9orf78,1685,-0.985586
EFCAB14,3773,-0.986524
NQO2,8934,-0.986578
TYW3,14268,-0.987317
ASL,927,-0.987645
DNAAF5,3468,-0.988091
RCC1L,10956,-0.988407
CNPPD1,2652,-0.988472
DMTN,3461,-0.988498
DPRX,3593,-0.988805
TAGLN2,13115,-0.988927
CCK,2008,-0.989356
CPSF1,2837,-0.989814
PRRG2,10441,-0.990318
SAFB,11552,-0.990881
COPS6,2762,-0.991014
LOC728715,7309,-0.992277
UBE2Q2L,14322,-0.992697
TLX1,13486,-0.993409
THOC5,13397,-0.993574
LCOR,6829,-0.994471
KRT18P55,6671,-0.995017
CCR7,2054,-0.99503
CCDC85B,1989,-0.995129
USP27X-AS1,14486,-0.995704
PRR36,10432,-0.995762
XPA,14825,-0.996153
ISLR,6195,-0.996244
ZNF165,15126,-0.996302
G0S2,4804,-0.996364
RBM41,10923,-0.996773
USO1,14468,-0.997409
U2AF1L4,14270,-0.997675
WDFY4,14694,-0.997977
OR52B6,9214,-0.997994
DHX29,3377,-0.998469
PAXIP1-AS2,9436,-0.998862
THYN1,13412,-0.998894
ATP23,1013,-0.998931
MYH15,8394,-0.999031
SLC27A4,12145,-0.999086
ACAA1,95,-0.999422
KLC1,6558,-0.999944
TRIM36,13992,-1.000049
PLEKHO1,9959,-1.00009
DKKL1,3423,-1.000097
MLC1,8019,-1.000368
MIRLET7BHG,8000,-1.000388
ENC1,3955,-1.000758
AGPS,350,-1.001168
TLR6,13484,-1.001304
NRGN,8970,-1.001733
PRMT5,10379,-1.001909
DPY30,3604,-1.002686
MOB3B,8065,-1.002704
DHX8,3389,-1.002818
ZNF234,15167,-1.002887
PDHB,9589,-1.003091
C9orf116,1671,-1.003162
SLC26A10,12135,-1.003467
DENND2D,3307,-1.003551
KSR1,6734,-1.003978
BTBD17,1392,-1.004001
CES4A,2336,-1.004673
ZNF341,15231,-1.004893
NCOR1P1,8579,-1.004945
BOD1L2,1331,-1.00533
GNPDA2,5131,-1.005737
CD300LB,2095,-1.006136
TTC23,14146,-1.006544
DACH2,3143,-1.006982
C1orf35,1552,-1.007368
C6orf47,1644,-1.00754
HOPX,5772,-1.007591
WNT3,14788,-1.007748
FBXW7,4506,-1.007819
CAPN12,1796,-1.007995
NLRP3,8817,-1.008314
AOAH,635,-1.008416
PICALM,9781,-1.008659
SIL1,11981,-1.008948
PPP1R3D,10239,-1.010134
CLMP,2570,-1.010338
OLMALINC,9159,-1.010448
EIF3G,3847,-1.010492
MAP3K4,7634,-1.010973
CSTF3,2969,-1.011035
C5orf15,1627,-1.011131
PRSS58,10462,-1.011397
SOD2,12535,-1.011403
IQCD,6154,-1.011577
ST6GALNAC5,12817,-1.012402
TCEAL5,13239,-1.012867
TRAF3IP2,13927,-1.013591
TCAP,13231,-1.013689
ABHD16A,69,-1.01377
TULP3,14226,-1.013795
CDK2AP1,2205,-1.014556
ZNF682,15458,-1.014659
SH2D3C,11908,-1.014687
HIGD1A,5600,-1.015352
SEC63,11737,-1.015515
ANK1,535,-1.015697
MTAP,8282,-1.015734
NCOA3,8573,-1.015939
AGT,352,-1.016326
GGT6,4989,-1.017757
RANBP3L,10815,-1.017768
LALBA,6756,-1.018227
PPP1CA,10209,-1.019511
HIST2H2AB,5666,-1.020627
LINC00339,6934,-1.020999
SPDYE7P,12629,-1.021101
WWC1,14806,-1.021914
MYL12A,8399,-1.022566
DAXX,3162,-1.022679
KAT2B,6316,-1.022939
NDUFV2,8648,-1.023131
LYL1,7505,-1.023991
COX18,2794,-1.024092
TMEM67,13715,-1.024291
NMD3,8822,-1.024571
MOB1A,8061,-1.025104
TTC8,14169,-1.026058
TANC1,13121,-1.026537
MAP3K21,7632,-1.026692
KCNN4,6402,-1.027514
CTBP1,2974,-1.027544
CAMTA1,1785,-1.027556
CYS1,3124,-1.028149
HPS4,5795,-1.02949
LOC389705,7249,-1.030377
C19orf24,1502,-1.030544
NEFH,8666,-1.03071
STAG3L5P,12834,-1.031164
SOBP,12527,-1.031586
ZSCAN23,15607,-1.032076
LOC100130264,7117,-1.032229
IGFBP2,5991,-1.032619
VPREB3,14605,-1.033017
ZFHX4-AS1,15025,-1.033672
CSNK1A1L,2945,-1.033726
RGS2,11066,-1.033815
ACYP1,195,-1.03404
GKAP1,5035,-1.03432
HSPA4,5851,-1.034432
KCNIP1,6369,-1.034438
MRPL16,8161,-1.034491
SLC41A3,12231,-1.034933
FRK,4724,-1.035306
PTGER3,10553,-1.035326
CHST11,2454,-1.03583
ABHD17B,72,-1.036088
NMNAT2,8832,-1.036636
DHDH,3355,-1.037409
PRKCG,10354,-1.037967
MRPS18B,8211,-1.038928
YIPF1,14863,-1.039249
TBX5,13223,-1.039337
CCDC68,1975,-1.039616
CCDC103,1900,-1.039857
PNOC,10047,-1.039916
NUCB1,9039,-1.040378
TLR1,13479,-1.040742
PEX12,9660,-1.041
AANAT,16,-1.041035
SLC6A17,12272,-1.041893
PEA15,9629,-1.042038
GOLGA1,5138,-1.042195
SRPX,12745,-1.042234
ACOT9,137,-1.042339
TPT1-AS1,13909,-1.04268
RILP,11117,-1.043056
NRBP1,8959,-1.043121
PFKFB3,9679,-1.043389
SGCE,11886,-1.04376
ADAM15,203,-1.043918
CTSL,3014,-1.043926
MRAP2,8130,-1.044034
AKAIN1,391,-1.044712
SH3D21,11921,-1.045064
GAMT,4877,-1.045221
PDE11A,9557,-1.045339
DYNLRB2,3695,-1.045795
GABBR2,4820,-1.045821
DCX,3228,-1.046043
SIRPA,11991,-1.046117
ROBO1,11259,-1.046175
HRASLS,5801,-1.046554
SH3BP1,11915,-1.046641
NR2F6,8948,-1.047058
GMNN,5088,-1.047274
PTPRK,10605,-1.047386
PITPNB,9853,-1.048304
STAMBP,12837,-1.048775
RIN2,11128,-1.048784
NLRP11,8816,-1.048795
KIAA1211L,6493,-1.048829
TNIP3,13798,-1.048859
GPR12,5215,-1.049708
GBF1,4913,-1.052167
ITGA11,6210,-1.052262
SRPK3,12742,-1.052485
CEP19,2303,-1.052586
DEPP1,3321,-1.053037
KLHL11,6587,-1.053125
EIF2S3,3840,-1.053276
EHD2,3812,-1.053495
RPS6KB1,11409,-1.054022
RHPN1,11107,-1.054605
APCDD1,675,-1.054609
PWWP2A,10645,-1.054707
IL27RA,6046,-1.055738
ATXN1,1082,-1.056386
TYRP1,14265,-1.057726
CMTM3,2611,-1.057962
GHRHR,5000,-1.058486
HCG4,5494,-1.058545
ZNF180,15131,-1.058558
BMS1P4,1322,-1.058743
SLC38A7,12212,-1.05883
UPP2,14437,-1.058991
COX8A,2811,-1.059117
TMEM53,13702,-1.059337
SNHG16,12453,-1.059528
NAPEPLD,8511,-1.060524
MYO3A,8425,-1.060639
PRRG1,10440,-1.061185
ALDH3B1,436,-1.061305
CTH,2988,-1.061348
TRIP6,14026,-1.061474
HSPA4L,5852,-1.061785
STN1,12896,-1.062086
PEBP1,9632,-1.062461
KDM1B,6442,-1.063298
MGST1,7939,-1.063437
PMS1,10021,-1.063497
KIF6,6543,-1.064009
RPS6KA2,11404,-1.06474
ZNF608,15405,-1.064865
TSPAN5,14112,-1.064936
S100A1,11526,-1.066237
SMAD1,12336,-1.066536
OR52K2,9215,-1.066585
GNAI3,5101,-1.066876
